i,D.I.,A.Y.,I.COV,S,B.R.,S.R.,T.S.,MaxP.($),MinP.($),MedP.($),MeanP.($),P.SD,M.P.SD,MeanPCF,PCFSD,M.PCFSD,Mean P.F.,M.P.FSD
105,PDSIsc,2018,0.234695829,0.7,69,49,,362.6857448,0,0,0.858724399,8.90137928,,0.03696943,0.053230742,,0.12546209,
106,PDSIsc,2018,0.234695829,0.75,69,49,,422.8162943,0,0,1.424904427,12.04172514,,0.054716514,0.069923342,,0.19532252,
107,PDSIsc,2018,0.234695829,0.8,69,49,,486.6089378,0,0,2.281772363,16.04436174,,0.077200377,0.086333002,,0.291135421,
108,PDSIsc,2018,0.234695829,0.85,69,49,,559.547076,0,0,3.497330072,20.99936288,,0.104482523,0.101742636,,0.413730668,
109,PDSIsc,2018,0.234695829,0.9,69,49,,648.9160242,0,0,5.118712383,26.9730002,,0.13489348,0.115485881,,0.559185213,
110,PDSIsc,2018,0.234695829,0.7,69,29,,362.6857448,0,0,0.858724399,8.90137928,,0.03696943,0.053230742,,0.12546209,
111,PDSIsc,2018,0.234695829,0.75,69,29,,422.8162943,0,0,1.424904427,12.04172514,,0.054716514,0.069923342,,0.19532252,
112,PDSIsc,2018,0.234695829,0.8,69,29,,486.6089378,0,0,2.281772363,16.04436174,,0.077200377,0.086333002,,0.291135421,
113,PDSIsc,2018,0.234695829,0.85,69,29,,559.547076,0,0,3.497330072,20.99936288,,0.104482523,0.101742636,,0.413730668,
114,PDSIsc,2018,0.234695829,0.9,69,29,,648.9160242,0,0,5.118712383,26.9730002,,0.13489348,0.115485881,,0.559185213,
115,PDSIsc,2018,0.234695829,0.7,69,9,,362.6857448,0,0,0.858724399,8.90137928,,0.03696943,0.053230742,,0.12546209,
116,PDSIsc,2018,0.234695829,0.75,69,9,,422.8162943,0,0,1.424904427,12.04172514,,0.054716514,0.069923342,,0.19532252,
117,PDSIsc,2018,0.234695829,0.8,69,9,,486.6089378,0,0,2.281772363,16.04436174,,0.077200377,0.086333002,,0.291135421,
118,PDSIsc,2018,0.234695829,0.85,69,9,,559.547076,0,0,3.497330072,20.99936288,,0.104482523,0.101742636,,0.413730668,
119,PDSIsc,2018,0.234695829,0.9,69,9,,648.9160242,0,0,5.118712383,26.9730002,,0.13489348,0.115485881,,0.559185213,
120,PDSIz,2017,0.23304942,0.7,69,69,1,14.36486285,0,0,0.043770879,0.383866318,,0.000848654,0.001436555,,0.033345907,
121,PDSIz,2017,0.23304942,0.75,69,69,1,35.75062492,0,0,0.12719961,0.991067763,,0.001380036,0.001970007,,0.047001132,
122,PDSIz,2017,0.23304942,0.8,69,69,1,42.35160471,0,0,0.180234344,1.25312647,,0.002298442,0.002749293,,0.062542437,
123,PDSIz,2017,0.23304942,0.85,69,69,1,48.85235253,0,0,0.248022281,1.55630751,,0.003917672,0.003917187,,0.083515654,
124,PDSIz,2017,0.23304942,0.9,69,69,1,55.24471052,0,0,0.336092314,1.902868713,,0.007183924,0.005887483,,0.109845341,
125,PDSIz,2017,0.23304942,0.7,69,49,1,38.20294666,0,0,0.158127989,1.23162894,,0.001184766,0.001968908,,0.042172765,
126,PDSIz,2017,0.23304942,0.75,69,49,1,47.3970808,0,0,0.222381054,1.556040639,,0.001839729,0.002637217,,0.057336854,
127,PDSIz,2017,0.23304942,0.8,69,49,1,56.46458494,0,0,0.306207389,1.930047977,,0.002857119,0.003499106,,0.076423991,
128,PDSIz,2017,0.23304942,0.85,69,49,1,67.19089657,0,0,0.417262234,2.363206767,,0.004683987,0.004906556,,0.102150132,
129,PDSIz,2017,0.23304942,0.9,69,49,1,80.33023708,0,0,0.562287753,2.858593245,,0.008282901,0.007254909,,0.13526971,
130,PDSIz,2017,0.23304942,0.7,69,29,1,42.45208569,0,0,0.214196093,1.715969575,,0.001711285,0.003145211,,0.037419842,
131,PDSIz,2017,0.23304942,0.75,69,29,1,49.55983999,0,0,0.301560537,2.179665152,,0.002655109,0.004129046,,0.050773293,
132,PDSIz,2017,0.23304942,0.8,69,29,1,56.58777253,0,0,0.41620304,2.719955895,,0.00410418,0.005350675,,0.069407771,
133,PDSIz,2017,0.23304942,0.85,69,29,1,63.52720504,0,0,0.569938393,3.346474338,,0.006780109,0.007402475,,0.09392682,
134,PDSIz,2017,0.23304942,0.9,69,29,1,71.19746734,0,0,0.772264662,4.079825122,,0.011812151,0.010571625,,0.124783101,
135,PDSIz,2017,0.23304942,0.7,69,9,1,127.9757456,0,0,0.192503537,2.692056922,,0.002940257,0.006487876,,0.015843078,
136,PDSIz,2017,0.23304942,0.75,69,9,1,157.1056667,0,0,0.301079629,3.619761042,,0.004709935,0.008389804,,0.021274991,
137,PDSIz,2017,0.23304942,0.8,69,9,1,185.8440883,0,0,0.448034721,4.728722788,,0.007392409,0.010853946,,0.029422859,
138,PDSIz,2017,0.23304942,0.85,69,9,1,214.1484466,0,0,0.652390505,6.02600168,,0.011498427,0.01404476,,0.041644662,
139,PDSIz,2017,0.23304942,0.9,69,9,1,245.268807,0,0,0.923317494,7.51608595,,0.01918531,0.018998645,,0.054545455,
140,PDSIz,2018,0.23304942,0.7,69,69,1,132.1923618,0,0,0.193808007,2.785199663,,0.002940257,0.006487876,,0.015843078,
141,PDSIz,2018,0.23304942,0.75,69,69,1,152.4942144,0,0,0.296360296,3.676142556,,0.004709935,0.008389804,,0.021274991,
142,PDSIz,2018,0.23304942,0.8,69,69,1,172.5833727,0,0,0.435616918,4.738586389,,0.007392409,0.010853946,,0.029422859,
143,PDSIz,2018,0.23304942,0.85,69,69,1,192.4367124,0,0,0.627108315,5.972228139,,0.011498427,0.01404476,,0.041644662,
144,PDSIz,2018,0.23304942,0.9,69,69,1,212.0350403,0,0,0.879468546,7.375007975,,0.01918531,0.018998645,,0.054545455,
145,PDSIz,2018,0.23304942,0.7,69,49,1,132.1923618,0,0,0.193808007,2.785199663,,0.002940257,0.006487876,,0.015843078,
146,PDSIz,2018,0.23304942,0.75,69,49,1,152.4942144,0,0,0.296360296,3.676142556,,0.004709935,0.008389804,,0.021274991,
147,PDSIz,2018,0.23304942,0.8,69,49,1,172.5833727,0,0,0.435616918,4.738586389,,0.007392409,0.010853946,,0.029422859,
148,PDSIz,2018,0.23304942,0.85,69,49,1,192.4367124,0,0,0.627108315,5.972228139,,0.011498427,0.01404476,,0.041644662,
149,PDSIz,2018,0.23304942,0.9,69,49,1,212.0350403,0,0,0.879468546,7.375007975,,0.01918531,0.018998645,,0.054545455,
150,PDSIz,2018,0.23304942,0.7,69,29,1,132.1923618,0,0,0.193808007,2.785199663,,0.002940257,0.006487876,,0.015843078,
151,PDSIz,2018,0.23304942,0.75,69,29,1,152.4942144,0,0,0.296360296,3.676142556,,0.004709935,0.008389804,,0.021274991,
152,PDSIz,2018,0.23304942,0.8,69,29,1,172.5833727,0,0,0.435616918,4.738586389,,0.007392409,0.010853946,,0.029422859,
153,PDSIz,2018,0.23304942,0.85,69,29,1,192.4367124,0,0,0.627108315,5.972228139,,0.011498427,0.01404476,,0.041644662,
154,PDSIz,2018,0.23304942,0.9,69,29,1,212.0350403,0,0,0.879468546,7.375007975,,0.01918531,0.018998645,,0.054545455,
155,PDSIz,2018,0.23304942,0.7,69,9,1,132.1923618,0,0,0.193808007,2.785199663,,0.002940257,0.006487876,,0.015843078,
156,PDSIz,2018,0.23304942,0.75,69,9,1,152.4942144,0,0,0.296360296,3.676142556,,0.004709935,0.008389804,,0.021274991,
157,PDSIz,2018,0.23304942,0.8,69,9,1,172.5833727,0,0,0.435616918,4.738586389,,0.007392409,0.010853946,,0.029422859,
158,PDSIz,2018,0.23304942,0.85,69,9,1,192.4367124,0,0,0.627108315,5.972228139,,0.011498427,0.01404476,,0.041644662,
159,PDSIz,2018,0.23304942,0.9,69,9,1,212.0350403,0,0,0.879468546,7.375007975,,0.01918531,0.018998645,,0.054545455,
160,SPI-1,2017,0.225043546,0.7,69,69,1,37.28702318,0,0,0.460810238,1.582629803,,0.015277422,0.004711887,,0.300716711,
161,SPI-1,2017,0.225043546,0.75,69,69,1,47.34824264,0,0,0.804975976,2.186320201,,0.024172085,0.006247634,,0.488570351,
